"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SCAMP4",0.0590365551065887,-0.33093159726232,0.033,0.047,1
"ITPR2",0.0590446805982235,-0.889233998677385,0.007,0.015,1
"TARDBP",0.0590610318746652,0.410537944570149,0.074,0.056,1
"ARL2BP",0.0590667121539039,0.472144246300019,0.151,0.125,1
"ICA1",0.0591011345663257,1.28157653146224,0.016,0.008,1
"NME7",0.0591369198235598,1.40252258611813,0.016,0.008,1
"RPS17",0.0591626788923194,0.648516046634569,0.029,0.018,1
"ESYT1",0.0593903621769312,0.260614014636907,0.107,0.086,1
"BNIP1",0.0595666350403778,0.653082629758207,0.039,0.026,1
"ODC1",0.0597528701893319,-0.280609716623177,0.091,0.112,1
