"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00925684940724447,2.72546078638454,0.25,0.028,1,"CMP","WDR11"
0.00936020224319378,1.27566713314488,1,0.326,1,"CMP","XRCC6"
0.00937301518049782,1.98260194711728,0.5,0.099,1,"CMP","GTF2B"
0.00944022863604732,2.32012704695872,0.5,0.112,1,"CMP","RFXANK"
0.00944330079104372,2.69069648712143,0.25,0.028,1,"CMP","MAP2K4"
0.00944330079104372,2.74738230491669,0.25,0.028,1,"CMP","GALNT1"
0.0095061913305956,2.45362088483189,0.25,0.028,1,"CMP","BRAT1"
0.00956945512337004,2.60252862125749,0.25,0.028,1,"CMP","HIF1AN"
0.00963309419602476,2.67248266315711,0.25,0.028,1,"CMP","PCIF1"
0.00963309448154415,2.74355048358891,0.25,0.028,1,"CMP","SCAMP1"
0.0096754093328344,1.38684948203863,1,0.83,1,"CMP","NPM1"
0.00968520886834723,2.78454915745574,0.25,0.028,1,"CMP","GMDS"
0.0096971102983876,2.51281872679301,0.25,0.028,1,"CMP","ETS2"
0.00970774985672063,2.31597131440161,0.5,0.103,1,"CMP","RRP7A"
0.0097395540317744,1.68828374854589,0.75,0.194,1,"CMP","CRBN"
0.00976150532888398,2.46258332829603,0.25,0.028,1,"CMP","SLC8B1"
0.00976150547308419,2.57411196312404,0.25,0.028,1,"CMP","SP2"
0.00981340640448525,2.84025938172464,0.25,0.028,1,"CMP","CEP135"
0.00982628148306786,2.39458608186652,0.25,0.028,1,"CMP","CRNKL1"
0,6.12304101336324,0.4,0.007,0,"Pro-B_cell_CD34+","GPM6B"
0,5.79173487129708,0.4,0.008,0,"Pro-B_cell_CD34+","CCDC71L"
0,6.09341564241718,0.4,0.01,0,"Pro-B_cell_CD34+","PCDH9"
4.44089209850063e-16,5.58221334903985,0.6,0.025,6.09023942388376e-12,"Pro-B_cell_CD34+","FOXO1"
3.95654620177766e-11,4.52730547725576,0.4,0.016,5.42600746111788e-07,"Pro-B_cell_CD34+","AC079767.4"
1.64228852739257e-10,4.34673403557918,0.6,0.039,2.25223448646616e-06,"Pro-B_cell_CD34+","IGLL5"
1.97326155415567e-10,4.58472171011027,0.6,0.041,2.70613089536909e-06,"Pro-B_cell_CD34+","SNX4"
9.63101598472349e-10,4.82264840026859,0.4,0.019,1.32079753214498e-05,"Pro-B_cell_CD34+","MCM3AP"
1.10860748803177e-07,5.25483598975565,0.4,0.026,0.00152034430908676,"Pro-B_cell_CD34+","MZB1"
1.44946934899082e-07,3.79460785739345,0.6,0.059,0.00198780226520601,"Pro-B_cell_CD34+","TSPAN3"
1.73013599447103e-07,3.89115180792805,0.4,0.025,0.00237270850281757,"Pro-B_cell_CD34+","POU2AF1"
1.24803146617225e-06,4.35640245465488,0.4,0.031,0.0171155035270862,"Pro-B_cell_CD34+","TTC32"
